num_nodes,p_in,p_out,graph_seed,model,train_acc,val_acc,test_acc,gen_gap,homophily,spectral_gap
200,0.1,0.01,142,MLP,0.675000011920929,0.4749999940395355,0.574999988079071,0.10000002384185791,0.9003689885139465,0.16012674570083618
200,0.1,0.01,142,GCN,0.8666666746139526,0.800000011920929,0.675000011920929,0.19166666269302368,0.9003689885139465,0.16012674570083618
200,0.1,0.01,142,GraphSAGE,0.824999988079071,0.675000011920929,0.574999988079071,0.25,0.9003689885139465,0.16012674570083618
200,0.1,0.01,142,GAT,0.9583333134651184,0.8999999761581421,0.949999988079071,0.008333325386047363,0.9003689885139465,0.16012674570083618
200,0.1,0.01,143,MLP,0.6666666865348816,0.4749999940395355,0.5,0.1666666865348816,0.8935978412628174,0.16606545448303223
200,0.1,0.01,143,GCN,0.7749999761581421,0.75,0.75,0.02499997615814209,0.8935978412628174,0.16606545448303223
200,0.1,0.01,143,GraphSAGE,0.8166666626930237,0.625,0.699999988079071,0.11666667461395264,0.8935978412628174,0.16606545448303223
200,0.1,0.01,143,GAT,0.925000011920929,0.9750000238418579,0.8999999761581421,0.025000035762786865,0.8935978412628174,0.16606545448303223
200,0.1,0.01,144,MLP,0.699999988079071,0.5249999761581421,0.4749999940395355,0.22499999403953552,0.9130434989929199,0.13688057661056519
200,0.1,0.01,144,GCN,0.7333333492279053,0.625,0.7250000238418579,0.008333325386047363,0.9130434989929199,0.13688057661056519
200,0.1,0.01,144,GraphSAGE,0.75,0.7250000238418579,0.800000011920929,-0.050000011920928955,0.9130434989929199,0.13688057661056519
200,0.1,0.01,144,GAT,0.9666666388511658,0.8500000238418579,0.9750000238418579,-0.008333384990692139,0.9130434989929199,0.13688057661056519
200,0.07,0.03,112,MLP,0.7333333492279053,0.6000000238418579,0.5,0.23333334922790527,0.676778256893158,0.4002920687198639
200,0.07,0.03,112,GCN,0.699999988079071,0.5249999761581421,0.625,0.07499998807907104,0.676778256893158,0.4002920687198639
200,0.07,0.03,112,GraphSAGE,0.7416666746139526,0.625,0.5249999761581421,0.21666669845581055,0.676778256893158,0.4002920687198639
200,0.07,0.03,112,GAT,0.7583333253860474,0.5,0.675000011920929,0.08333331346511841,0.676778256893158,0.4002920687198639
200,0.07,0.03,113,MLP,0.6916666626930237,0.42500001192092896,0.44999998807907104,0.24166667461395264,0.7195242643356323,0.4178119897842407
200,0.07,0.03,113,GCN,0.6666666865348816,0.5,0.6499999761581421,0.016666710376739502,0.7195242643356323,0.4178119897842407
200,0.07,0.03,113,GraphSAGE,0.7333333492279053,0.4749999940395355,0.550000011920929,0.18333333730697632,0.7195242643356323,0.4178119897842407
200,0.07,0.03,113,GAT,0.8166666626930237,0.8500000238418579,0.8999999761581421,-0.08333331346511841,0.7195242643356323,0.4178119897842407
200,0.07,0.03,114,MLP,0.6416666507720947,0.32499998807907104,0.6000000238418579,0.041666626930236816,0.6896551847457886,0.40788161754608154
200,0.07,0.03,114,GCN,0.6083333492279053,0.3499999940395355,0.5,0.10833334922790527,0.6896551847457886,0.40788161754608154
200,0.07,0.03,114,GraphSAGE,0.7166666388511658,0.5,0.5249999761581421,0.19166666269302368,0.6896551847457886,0.40788161754608154
200,0.07,0.03,114,GAT,0.8083333373069763,0.675000011920929,0.699999988079071,0.10833334922790527,0.6896551847457886,0.40788161754608154
200,0.03,0.05,72,MLP,0.6166666746139526,0.5,0.550000011920929,0.06666666269302368,0.371536523103714,0.36298346519470215
200,0.03,0.05,72,GCN,0.574999988079071,0.5,0.5,0.07499998807907104,0.371536523103714,0.36298346519470215
200,0.03,0.05,72,GraphSAGE,0.6166666746139526,0.550000011920929,0.5249999761581421,0.09166669845581055,0.371536523103714,0.36298346519470215
200,0.03,0.05,72,GAT,0.6833333373069763,0.4749999940395355,0.4749999940395355,0.2083333432674408,0.371536523103714,0.36298346519470215
200,0.03,0.05,73,MLP,0.6916666626930237,0.44999998807907104,0.4749999940395355,0.21666666865348816,0.3872976303100586,0.35560286045074463
200,0.03,0.05,73,GCN,0.6166666746139526,0.42500001192092896,0.44999998807907104,0.1666666865348816,0.3872976303100586,0.35560286045074463
200,0.03,0.05,73,GraphSAGE,0.7166666388511658,0.6000000238418579,0.625,0.09166663885116577,0.3872976303100586,0.35560286045074463
200,0.03,0.05,73,GAT,0.6916666626930237,0.4749999940395355,0.5249999761581421,0.1666666865348816,0.3872976303100586,0.35560286045074463
200,0.03,0.05,74,MLP,0.6416666507720947,0.6000000238418579,0.5,0.14166665077209473,0.3371794819831848,0.365926057100296
200,0.03,0.05,74,GCN,0.6416666507720947,0.5,0.375,0.2666666507720947,0.3371794819831848,0.365926057100296
200,0.03,0.05,74,GraphSAGE,0.7416666746139526,0.6000000238418579,0.4000000059604645,0.34166666865348816,0.3371794819831848,0.365926057100296
200,0.03,0.05,74,GAT,0.6666666865348816,0.5,0.574999988079071,0.09166669845581055,0.3371794819831848,0.365926057100296
400,0.1,0.01,142,MLP,0.6208333373069763,0.5249999761581421,0.5249999761581421,0.09583336114883423,0.9134682416915894,0.15523844957351685
400,0.1,0.01,142,GCN,0.824999988079071,0.7250000238418579,0.824999988079071,0.0,0.9134682416915894,0.15523844957351685
400,0.1,0.01,142,GraphSAGE,0.7541666626930237,0.6000000238418579,0.737500011920929,0.016666650772094727,0.9134682416915894,0.15523844957351685
400,0.1,0.01,142,GAT,0.9791666865348816,0.9375,0.9624999761581421,0.016666710376739502,0.9134682416915894,0.15523844957351685
400,0.1,0.01,143,MLP,0.6208333373069763,0.4625000059604645,0.5625,0.05833333730697632,0.9135074019432068,0.15534281730651855
400,0.1,0.01,143,GCN,0.8041666746139526,0.800000011920929,0.8500000238418579,-0.04583334922790527,0.9135074019432068,0.15534281730651855
400,0.1,0.01,143,GraphSAGE,0.7083333134651184,0.512499988079071,0.6625000238418579,0.0458332896232605,0.9135074019432068,0.15534281730651855
400,0.1,0.01,143,GAT,1.0,1.0,1.0,0.0,0.9135074019432068,0.15534281730651855
400,0.1,0.01,144,MLP,0.6583333611488342,0.42500001192092896,0.48750001192092896,0.17083334922790527,0.9150921702384949,0.1531422734260559
400,0.1,0.01,144,GCN,0.6499999761581421,0.5625,0.574999988079071,0.07499998807907104,0.9150921702384949,0.1531422734260559
400,0.1,0.01,144,GraphSAGE,0.7583333253860474,0.625,0.5874999761581421,0.17083334922790527,0.9150921702384949,0.1531422734260559
400,0.1,0.01,144,GAT,0.987500011920929,0.987500011920929,0.987500011920929,0.0,0.9150921702384949,0.1531422734260559
400,0.07,0.03,112,MLP,0.5541666746139526,0.4625000059604645,0.44999998807907104,0.10416668653488159,0.7017228007316589,0.4920564889907837
400,0.07,0.03,112,GCN,0.6208333373069763,0.637499988079071,0.574999988079071,0.04583334922790527,0.7017228007316589,0.4920564889907837
400,0.07,0.03,112,GraphSAGE,0.6041666865348816,0.44999998807907104,0.574999988079071,0.029166698455810547,0.7017228007316589,0.4920564889907837
400,0.07,0.03,112,GAT,0.7791666388511658,0.762499988079071,0.7250000238418579,0.05416661500930786,0.7017228007316589,0.4920564889907837
400,0.07,0.03,113,MLP,0.6625000238418579,0.38749998807907104,0.5,0.1625000238418579,0.6853129863739014,0.5183952450752258
400,0.07,0.03,113,GCN,0.7166666388511658,0.6625000238418579,0.637499988079071,0.07916665077209473,0.6853129863739014,0.5183952450752258
400,0.07,0.03,113,GraphSAGE,0.6833333373069763,0.512499988079071,0.512499988079071,0.17083334922790527,0.6853129863739014,0.5183952450752258
400,0.07,0.03,113,GAT,0.7791666388511658,0.6499999761581421,0.7124999761581421,0.06666666269302368,0.6853129863739014,0.5183952450752258
400,0.07,0.03,114,MLP,0.6499999761581421,0.4375,0.4625000059604645,0.1874999701976776,0.6965551972389221,0.5084324479103088
400,0.07,0.03,114,GCN,0.7291666865348816,0.6499999761581421,0.675000011920929,0.05416667461395264,0.6965551972389221,0.5084324479103088
400,0.07,0.03,114,GraphSAGE,0.675000011920929,0.550000011920929,0.5249999761581421,0.15000003576278687,0.6965551972389221,0.5084324479103088
400,0.07,0.03,114,GAT,0.7666666507720947,0.8500000238418579,0.75,0.016666650772094727,0.6965551972389221,0.5084324479103088
400,0.03,0.05,72,MLP,0.6208333373069763,0.4625000059604645,0.4625000059604645,0.15833333134651184,0.3832470774650574,0.5293487310409546
400,0.03,0.05,72,GCN,0.4791666567325592,0.4375,0.550000011920929,-0.07083335518836975,0.3832470774650574,0.5293487310409546
400,0.03,0.05,72,GraphSAGE,0.699999988079071,0.550000011920929,0.4000000059604645,0.29999998211860657,0.3832470774650574,0.5293487310409546
400,0.03,0.05,72,GAT,0.6833333373069763,0.7250000238418579,0.5874999761581421,0.09583336114883423,0.3832470774650574,0.5293487310409546
400,0.03,0.05,73,MLP,0.5874999761581421,0.4000000059604645,0.512499988079071,0.07499998807907104,0.374211847782135,0.5307575464248657
400,0.03,0.05,73,GCN,0.5541666746139526,0.44999998807907104,0.5,0.05416667461395264,0.374211847782135,0.5307575464248657
400,0.03,0.05,73,GraphSAGE,0.6458333134651184,0.4124999940395355,0.574999988079071,0.07083332538604736,0.374211847782135,0.5307575464248657
400,0.03,0.05,73,GAT,0.7083333134651184,0.512499988079071,0.6000000238418579,0.1083332896232605,0.374211847782135,0.5307575464248657
400,0.03,0.05,74,MLP,0.5958333611488342,0.44999998807907104,0.4749999940395355,0.1208333671092987,0.3843921422958374,0.5274946093559265
400,0.03,0.05,74,GCN,0.5333333611488342,0.375,0.5375000238418579,-0.004166662693023682,0.3843921422958374,0.5274946093559265
400,0.03,0.05,74,GraphSAGE,0.6833333373069763,0.4749999940395355,0.5,0.18333333730697632,0.3843921422958374,0.5274946093559265
400,0.03,0.05,74,GAT,0.675000011920929,0.44999998807907104,0.512499988079071,0.1625000238418579,0.3843921422958374,0.5274946093559265
